theta,reference,CI0,CI3,CI3+CSU
52.00,-10.08,-8.59,-9.70,-9.83
53.00,-9.74,-7.87,-9.29,-9.40
54.00,-9.61,-7.40,-9.10,-9.19
55.00,-9.68,-7.15,-9.12,-9.19
56.00,-9.98,-7.11,-9.37,-9.42
57.00,-10.51,-7.25,-9.86,-9.89
58.00,-11.28,-7.55,-10.61,-10.60
59.00,-12.25,-7.97,-11.60,-11.54
60.00,-13.25,-8.40,-12.73,-12.60
61.00,-13.78,-8.66,-13.60,-13.39
62.00,-13.21,-8.52,-13.47,-13.23
63.00,-11.56,-7.83,-12.02,-11.84
64.00,-9.46,-6.66,-9.89,-9.79
65.00,-7.37,-5.22,-7.70,-7.66
66.00,-5.47,-3.73,-5.69,-5.68
67.00,-3.78,-2.28,-3.91,-3.92
68.00,-2.28,-0.94,-2.35,-2.37
69.00,-0.96,0.28,-0.97,-1.00
70.00,0.22,1.37,0.24,0.20
71.00,1.26,2.35,1.32,1.27
72.00,2.18,3.22,2.26,2.22
73.00,2.99,3.98,3.10,3.06
74.00,3.72,4.66,3.84,3.80
75.00,4.35,5.24,4.49,4.45
76.00,4.90,5.74,5.05,5.01
77.00,5.37,6.16,5.53,5.49
78.00,5.78,6.51,5.95,5.91
79.00,6.11,6.79,6.29,6.25
80.00,6.38,7.00,6.56,6.52
81.00,6.58,7.15,6.77,6.73
82.00,6.73,7.23,6.91,6.88
83.00,6.81,7.26,7.00,6.97
84.00,6.83,7.22,7.02,6.99
85.00,6.79,7.13,6.99,6.96
86.00,6.69,6.99,6.89,6.87
87.00,6.54,6.79,6.74,6.72
88.00,6.32,6.54,6.52,6.50
89.00,6.04,6.23,6.25,6.23
90.00,5.70,5.87,5.91,5.89
91.00,5.29,5.46,5.50,5.49
92.00,4.81,4.99,5.02,5.01
93.00,4.26,4.47,4.48,4.47
94.00,3.62,3.89,3.85,3.84
95.00,2.90,3.24,3.13,3.12
96.00,2.08,2.53,2.32,2.31
97.00,1.15,1.74,1.40,1.39
98.00,0.09,0.86,0.35,0.35
99.00,-1.12,-0.11,-0.84,-0.85
100.00,-2.51,-1.20,-2.21,-2.22
101.00,-4.12,-2.43,-3.80,-3.81
102.00,-6.00,-3.84,-5.66,-5.67
103.00,-8.23,-5.47,-7.87,-7.87
104.00,-10.83,-7.41,-10.48,-10.45
105.00,-13.52,-9.78,-13.31,-13.18
106.00,-15.04,-12.80,-15.23,-14.91
107.00,-14.14,-16.93,-14.61,-14.21
108.00,-12.17,-22.43,-12.59,-12.25
109.00,-10.33,-22.83,-10.65,-10.37
110.00,-8.87,-18.20,-9.12,-8.88
111.00,-7.78,-14.96,-7.97,-7.77
112.00,-6.98,-12.82,-7.15,-6.96
113.00,-6.44,-11.36,-6.59,-6.41
114.00,-6.11,-10.34,-6.26,-6.08
115.00,-5.99,-9.62,-6.14,-5.97
116.00,-6.05,-9.12,-6.21,-6.04
117.00,-6.29,-8.74,-6.48,-6.31
118.00,-6.73,-8.41,-6.95,-6.78
119.00,-7.36,-8.04,-7.63,-7.45
120.00,-8.22,-7.56,-8.53,-8.35
121.00,-9.31,-6.91,-9.65,-9.48
122.00,-10.63,-6.09,-10.95,-10.82
123.00,-12.10,-5.14,-12.23,-12.20
124.00,-13.41,-4.11,-13.01,-13.17
125.00,-13.87,-3.05,-12.71,-13.06
126.00,-13.01,-2.01,-11.37,-11.78
127.00,-11.31,-1.02,-9.61,-9.99
128.00,-9.46,-0.09,-7.87,-8.19
129.00,-7.74,0.76,-6.30,-6.57
130.00,-6.24,1.54,-4.92,-5.15
131.00,-4.95,2.25,-3.73,-3.93
132.00,-3.83,2.88,-2.70,-2.87
133.00,-2.88,3.44,-1.81,-1.97
134.00,-2.06,3.93,-1.04,-1.18
135.00,-1.35,4.35,-0.38,-0.51
136.00,-0.75,4.72,0.18,0.06
137.00,-0.24,5.02,0.66,0.55
138.00,0.19,5.27,1.06,0.95
139.00,0.55,5.46,1.39,1.29
140.00,0.84,5.60,1.66,1.56
141.00,1.07,5.69,1.87,1.78
142.00,1.24,5.72,2.03,1.93
143.00,1.36,5.71,2.13,2.04
144.00,1.43,5.66,2.19,2.10
145.00,1.46,5.55,2.20,2.11
146.00,1.44,5.40,2.17,2.08
147.00,1.39,5.21,2.10,2.01
148.00,1.30,4.98,2.00,1.91
149.00,1.17,4.70,1.86,1.77
150.00,1.02,4.38,1.70,1.60
151.00,0.84,4.02,1.51,1.41
152.00,0.64,3.63,1.29,1.19
153.00,0.42,3.19,1.05,0.95
154.00,0.18,2.73,0.80,0.70
155.00,-0.07,2.23,0.54,0.43
156.00,-0.32,1.72,0.27,0.16
157.00,-0.58,1.19,-0.01,-0.11
158.00,-0.83,0.66,-0.28,-0.39
159.00,-1.07,0.13,-0.54,-0.65
160.00,-1.30,-0.36,-0.78,-0.89
161.00,-1.51,-0.80,-1.01,-1.12
162.00,-1.70,-1.17,-1.22,-1.32
163.00,-1.85,-1.45,-1.39,-1.49
164.00,-1.98,-1.64,-1.54,-1.64
165.00,-2.08,-1.72,-1.66,-1.75
166.00,-2.16,-1.70,-1.74,-1.83
167.00,-2.20,-1.60,-1.80,-1.88
168.00,-2.22,-1.43,-1.83,-1.91
169.00,-2.22,-1.23,-1.84,-1.91
170.00,-2.21,-1.00,-1.84,-1.89
171.00,-2.18,-0.75,-1.82,-1.87
172.00,-2.15,-0.52,-1.79,-1.83
173.00,-2.10,-0.29,-1.75,-1.79
174.00,-2.06,-0.09,-1.72,-1.74
175.00,-2.02,0.08,-1.68,-1.70
176.00,-1.99,0.23,-1.65,-1.66
177.00,-1.96,0.35,-1.62,-1.63
178.00,-1.93,0.43,-1.61,-1.61
179.00,-1.92,0.48,-1.60,-1.59
180.00,-1.92,0.50,-1.60,-1.59
