theta,reference,CI0,CI3,CI3+CSU
143.00,-3.97,-1.74,-3.96,-3.84
144.00,-3.74,-1.34,-3.69,-3.58
145.00,-3.53,-0.97,-3.44,-3.34
146.00,-3.32,-0.63,-3.19,-3.10
147.00,-3.13,-0.33,-2.97,-2.89
148.00,-2.95,-0.06,-2.76,-2.69
149.00,-2.79,0.17,-2.57,-2.51
150.00,-2.65,0.38,-2.41,-2.35
151.00,-2.52,0.55,-2.25,-2.21
152.00,-2.40,0.70,-2.12,-2.08
153.00,-2.30,0.82,-2.01,-1.97
154.00,-2.22,0.92,-1.91,-1.88
155.00,-2.14,1.00,-1.82,-1.80
156.00,-2.08,1.06,-1.75,-1.73
157.00,-2.03,1.10,-1.69,-1.67
158.00,-1.99,1.12,-1.64,-1.63
159.00,-1.95,1.13,-1.60,-1.59
160.00,-1.93,1.13,-1.56,-1.57
161.00,-1.91,1.12,-1.54,-1.55
162.00,-1.89,1.09,-1.52,-1.53
163.00,-1.88,1.06,-1.51,-1.52
164.00,-1.88,1.03,-1.50,-1.52
165.00,-1.87,0.99,-1.49,-1.52
166.00,-1.87,0.95,-1.49,-1.52
167.00,-1.87,0.90,-1.49,-1.52
168.00,-1.88,0.85,-1.49,-1.53
169.00,-1.88,0.81,-1.49,-1.53
170.00,-1.89,0.76,-1.50,-1.54
171.00,-1.89,0.72,-1.50,-1.55
172.00,-1.89,0.67,-1.50,-1.56
173.00,-1.90,0.64,-1.50,-1.56
174.00,-1.90,0.60,-1.50,-1.57
175.00,-1.91,0.57,-1.51,-1.57
176.00,-1.91,0.55,-1.51,-1.58
177.00,-1.91,0.53,-1.50,-1.58
178.00,-1.91,0.51,-1.50,-1.59
179.00,-1.92,0.50,-1.50,-1.59
180.00,-1.92,0.50,-1.50,-1.59
